Movie Name,Genre,Ratings,Voting Counts,Duration
Abigail,Unknown,6.5,116000.0,2024
The Substance,Unknown,7.2,409000.0,2024
The Life of Chuck,Unknown,7.3,63000.0,2024
Dune: Part Two,Unknown,8.4,721000.0,2024
Eden,Unknown,6.5,41000.0,2024
Anora,Unknown,7.4,266000.0,2024
We Bury the Dead,Unknown,5.6,9100.0,2024
Blink Twice,Unknown,6.5,127000.0,2024
Furiosa: A Mad Max Saga,Unknown,7.5,317000.0,2024
Relay,Unknown,7.0,32000.0,2024
Deadpool & Wolverine,Unknown,7.5,559000.0,2024
Nosferatu,Unknown,7.1,261000.0,2024
The Fall Guy,Unknown,6.8,254000.0,2024
Heretic,Unknown,7.0,220000.0,2024
The Beekeeper,Unknown,6.3,177000.0,2024
The Ministry of Ungentlemanly Warfare,Unknown,6.8,155000.0,2024
Cellar Door,Unknown,5.2,6700.0,2024
Trap,Unknown,5.8,162000.0,2024
The Wild Robot,Unknown,8.2,217000.0,2024
A Complete Unknown,Unknown,7.3,115000.0,2024
Civil War,Unknown,7.0,265000.0,2024
The Brutalist,Unknown,7.2,134000.0,2024
Bone Lake,Unknown,5.6,12000.0,2024
Wicked,Unknown,7.3,226000.0,2024
Kinds of Kindness,Unknown,6.4,70000.0,2024
Gladiator II,Unknown,6.5,291000.0,2024
Conclave,Unknown,7.4,254000.0,2024
Longlegs,Unknown,6.5,220000.0,2024
Babygirl,Unknown,5.8,80000.0,2024
Sonic the Hedgehog 3,Unknown,6.9,78000.0,2024
2073,Unknown,5.1,4000.0,2024
Sleeping Dogs,Unknown,6.2,26000.0,2024
Big World,Unknown,7.5,2300.0,2024
Challengers,Unknown,7.0,176000.0,2024
Alien: Romulus,Unknown,7.1,283000.0,2024
The Strangers' Case,Unknown,8.5,11000.0,2024
Speak No Evil,Unknown,6.8,130000.0,2024
Wolfs,Unknown,6.5,102000.0,2024
Small Things Like These,Unknown,6.7,36000.0,2024
Twisters,Unknown,6.5,192000.0,2024
I'm Still Here,Unknown,8.1,145000.0,2024
Kraven the Hunter,Unknown,5.5,79000.0,2024
IF,Unknown,6.4,66000.0,2024
It Ends with Us,Unknown,6.3,99000.0,2024
Ordinary Angels,Unknown,7.4,19000.0,2024
Fly Me to the Moon,Unknown,6.6,58000.0,2024
Friendship,Unknown,6.6,38000.0,2024
Joker: Folie à Deux,Unknown,5.2,180000.0,2024
Ghostbusters: Frozen Empire,Unknown,6.1,105000.0,2024
Shell,Unknown,4.9,3600.0,2024
