Movie Name,Genre,Ratings,Voting Counts,Duration
1. Abigail,,6.5, (116K),2024
2. The Substance,,7.2, (409K),2024
3. The Life of Chuck,,7.3, (63K),2024
4. Dune: Part Two,,8.4, (721K),2024
5. Eden,,6.5, (41K),2024
6. Anora,,7.4, (266K),2024
7. We Bury the Dead,,5.6, (9.1K),2024
8. Blink Twice,,6.5, (127K),2024
9. Furiosa: A Mad Max Saga,,7.5, (317K),2024
10. Relay,,7.0, (32K),2024
11. Deadpool & Wolverine,,7.5, (559K),2024
12. Nosferatu,,7.1, (261K),2024
13. The Fall Guy,,6.8, (254K),2024
14. Heretic,,7.0, (220K),2024
15. The Beekeeper,,6.3, (177K),2024
16. The Ministry of Ungentlemanly Warfare,,6.8, (155K),2024
17. Cellar Door,,5.2, (6.7K),2024
18. Trap,,5.8, (162K),2024
19. The Wild Robot,,8.2, (217K),2024
20. A Complete Unknown,,7.3, (115K),2024
21. Civil War,,7.0, (265K),2024
22. The Brutalist,,7.2, (134K),2024
23. Bone Lake,,5.6, (12K),2024
24. Wicked,,7.3, (226K),2024
25. Kinds of Kindness,,6.4, (70K),2024
26. Gladiator II,,6.5, (291K),2024
27. Conclave,,7.4, (254K),2024
28. Longlegs,,6.5, (220K),2024
29. Babygirl,,5.8, (80K),2024
30. Sonic the Hedgehog 3,,6.9, (78K),2024
31. 2073,,5.1, (4K),2024
32. Sleeping Dogs,,6.2, (26K),2024
33. Big World,,7.5, (2.3K),2024
34. Challengers,,7.0, (176K),2024
35. Alien: Romulus,,7.1, (283K),2024
36. The Strangers' Case,,8.5, (11K),2024
37. Speak No Evil,,6.8, (130K),2024
38. Wolfs,,6.5, (102K),2024
39. Small Things Like These,,6.7, (36K),2024
40. Twisters,,6.5, (192K),2024
41. I'm Still Here,,8.1, (145K),2024
42. Kraven the Hunter,,5.5, (79K),2024
43. IF,,6.4, (66K),2024
44. It Ends with Us,,6.3, (99K),2024
45. Ordinary Angels,,7.4, (19K),2024
46. Fly Me to the Moon,,6.6, (58K),2024
47. Friendship,,6.6, (38K),2024
48. Joker: Folie à Deux,,5.2, (180K),2024
49. Ghostbusters: Frozen Empire,,6.1, (105K),2024
50. Shell,,4.9, (3.6K),2024
